_id,humedad,norhum,nortemp,salidae,salidar,salidav,temperatura
63054459dcbc56d1e4b34856,50,-1,-1,1,1,0,35.1
63054459dcbc56d1e4b34857,60,0,-1,-1,1,0,32.1
63054459dcbc56d1e4b34858,90,1,-1,0,1,0,34.95
63054459dcbc56d1e4b34859,45,-1,0,1,-1,-1,36.8
63054459dcbc56d1e4b3485a,55.5,0,0,-1,-1,-1,37
63054459dcbc56d1e4b3485b,87,1,0,0,-1,-1,36.5
63054459dcbc56d1e4b3485c,30,-1,1,1,0,1,37.85
63054459dcbc56d1e4b3485d,70,0,1,-1,0,1,37.9
63054459dcbc56d1e4b3485e,91,1,1,0,0,1,38
63055b5b8c1190050ef46cc8,65,0,0,-1,-1,-1,36.9
6305620b3254291afa379d1d,69.5,0,-1,-1,1,0,36.21
6305622a3254291afa379d1f,68.5,0,0,-1,-1,-1,36.53
630562483254291afa379d21,67,0,0,-1,-1,-1,36.81
630562683254291afa379d23,67.5,0,0,-1,-1,-1,37.09
630562873254291afa379d25,66.5,0,0,-1,-1,-1,37.33
630562a53254291afa379d27,65.5,0,0,-1,-1,-1,37.49
630562c43254291afa379d29,66,0,0,-1,-1,-1,37.65
630563023254291afa379d2b,65,0,1,-1,0,1,37.93
630563213254291afa379d2d,65.5,0,1,-1,0,1,38.29
6305633f3254291afa379d2f,66,0,0,-1,-1,-1,37.73
6305635e3254291afa379d31,66,0,0,-1,-1,-1,36.83
6305637d3254291afa379d33,68,0,-1,-1,1,0,35.91
6305639b3254291afa379d35,70,0,-1,-1,1,0,35.49
630563ba3254291afa379d37,72.5,0,-1,-1,1,0,35.45
630563d93254291afa379d39,72,0,-1,-1,1,0,35.61
630563f83254291afa379d3b,70.5,0,-1,-1,1,0,35.95
630564163254291afa379d3d,70,0,-1,-1,1,0,36.27
630564353254291afa379d3f,69,0,0,-1,-1,-1,36.57
630564553254291afa379d41,68.5,0,0,-1,-1,-1,36.83
630564973254291afa379d43,69,0,0,-1,-1,-1,37.09
630564983254291afa379d45,69,0,0,-1,-1,-1,37.07
630564b73254291afa379d47,67,0,0,-1,-1,-1,37.31
630564d63254291afa379d49,67,0,0,-1,-1,-1,37.65
630564f43254291afa379d4b,66.5,0,1,-1,0,1,37.99
630565133254291afa379d4d,66,0,1,-1,0,1,37.93
630565323254291afa379d4f,65,0,0,-1,-1,-1,37.11
630565513254291afa379d51,66,0,-1,-1,1,0,36.19
630565713254291afa379d53,68.5,0,-1,-1,1,0,35.75
6305658f3254291afa379d55,71,0,-1,-1,1,0,35.69
630565ad3254291afa379d57,70.5,0,-1,-1,1,0,35.87
630565cc3254291afa379d59,69.5,0,-1,-1,1,0,36.11
630565ea3254291afa379d5b,69.5,0,-1,-1,1,0,36.43
6305660a3254291afa379d5d,67.5,0,0,-1,-1,-1,36.71
630566293254291afa379d5f,67,0,0,-1,-1,-1,36.99
6306a5eb5c71fb34665e9d8e,63.5,0,1,-1,0,1,36.19
6306a6095c71fb34665e9d90,62.5,0,0,-1,-1,-1,35.59
6306a6285c71fb34665e9d92,64,0,-1,-1,1,0,34.89
6306a6475c71fb34665e9d94,65.5,0,-1,-1,1,0,34.51
6306a6665c71fb34665e9d96,66.5,0,-1,-1,1,0,34.57
6306a88c5865258e7d0b639e,64,0,1,-1,0,1,36.03
6306acb75903a81e2325ca6f,69.5,0,-1,-1,1,0,33.75
6306acd65903a81e2325ca71,68.5,0,0,-1,-1,-1,34.09
6306acf45903a81e2325ca73,67.5,0,0,-1,-1,-1,34.49
6306ad135903a81e2325ca75,65,0,0,-1,-1,-1,34.89
6306ad325903a81e2325ca77,64.5,0,0,-1,-1,-1,35.27
6306ad515903a81e2325ca79,63.5,0,0,-1,-1,-1,35.65
6306ad705903a81e2325ca7b,63,0,0,-1,-1,-1,35.91
